X1	Y1	X2	Y2	X3	Y3	
209.92	-6991.97	0.00	-0.01	3826.08	5118.44	
211.92	-6991.82	0.00	-0.01	3824.37	5119.49	
213.92	-6991.67	0.00	-0.01	3822.66	5120.55	
215.91	-6991.51	0.00	-0.01	3820.95	5121.60	
217.91	-6991.36	0.00	-0.01	3819.23	5122.65	
219.91	-6991.20	0.00	-0.01	3817.52	5123.70	
221.91	-6991.04	0.00	-0.01	3815.80	5124.75	
223.90	-6990.88	0.00	-0.01	3814.08	5125.80	
225.90	-6990.72	0.00	-0.01	3812.36	5126.84	
227.90	-6990.55	0.00	-0.01	3810.64	5127.89	
229.90	-6990.39	0.00	-0.01	3808.92	5128.93	
231.89	-6990.22	0.00	-0.01	3807.20	5129.98	
233.89	-6990.05	0.00	-0.01	3805.48	5131.02	
235.89	-6989.88	0.00	-0.01	3803.76	5132.06	
237.88	-6989.71	0.00	-0.01	3802.03	5133.09	
239.88	-6989.54	0.00	-0.01	3800.31	5134.13	
241.88	-6989.37	0.00	-0.01	3798.58	5135.17	
243.88	-6989.19	0.00	-0.01	3796.85	5136.20	
245.87	-6989.01	0.00	-0.01	3795.12	5137.23	
247.87	-6988.84	0.00	-0.01	3793.39	5138.26	
249.87	-6988.66	0.00	-0.01	3791.66	5139.29	
251.86	-6988.48	0.00	-0.01	3789.93	5140.32	
253.86	-6988.29	0.00	-0.01	3788.20	5141.35	
255.86	-6988.11	0.00	-0.01	3786.46	5142.37	
257.85	-6987.93	0.00	-0.01	3784.73	5143.40	
259.85	-6987.74	0.00	-0.01	3782.99	5144.42	
261.85	-6987.55	0.00	-0.01	3781.25	5145.44	
263.84	-6987.36	0.00	-0.01	3779.52	5146.46	
265.84	-6987.17	0.00	-0.01	3777.78	5147.48	
267.83	-6986.98	0.00	-0.01	3776.04	5148.50	
269.83	-6986.78	0.00	-0.01	3774.30	5149.51	
271.83	-6986.59	0.00	-0.01	3772.55	5150.53	
273.82	-6986.39	0.00	-0.01	3770.81	5151.54	
275.82	-6986.19	0.00	-0.01	3769.07	5152.55	
277.82	-6986.00	0.00	-0.01	3767.32	5153.56	
279.81	-6985.79	0.00	-0.01	3765.58	5154.57	
281.81	-6985.59	0.00	-0.01	3763.83	5155.58	
283.80	-6985.39	0.00	-0.01	3762.08	5156.59	
285.80	-6985.18	0.00	-0.01	3760.33	5157.59	
287.80	-6984.98	0.00	-0.01	3758.58	5158.59	
289.79	-6984.77	0.00	-0.01	3756.83	5159.60	
291.79	-6984.56	0.00	-0.01	3755.08	5160.60	
293.78	-6984.35	0.00	-0.01	3753.33	5161.60	
295.78	-6984.14	0.00	-0.01	3751.57	5162.59	
297.77	-6983.92	0.00	-0.01	3749.82	5163.59	
299.77	-6983.71	0.00	-0.01	3748.06	5164.58	
301.76	-6983.49	0.00	-0.01	3746.30	5165.58	
303.76	-6983.27	0.00	-0.01	3744.54	5166.57	
305.75	-6983.05	0.00	-0.01	3742.78	5167.56	
307.75	-6982.83	0.00	-0.01	3741.02	5168.55	
309.74	-6982.61	0.00	-0.01	3739.26	5169.54	
311.74	-6982.39	0.00	-0.01	3737.50	5170.53	
313.73	-6982.16	0.00	-0.01	3735.74	5171.51	
315.73	-6981.93	0.00	-0.01	3733.97	5172.50	
317.72	-6981.71	0.01	-0.01	3732.21	5173.48	
319.72	-6981.48	0.01	-0.01	3730.44	5174.46	
321.71	-6981.25	0.01	-0.01	3728.67	5175.44	
323.71	-6981.01	0.01	-0.01	3726.91	5176.42	
325.70	-6980.78	0.01	-0.01	3725.14	5177.39	
327.70	-6980.54	0.01	-0.01	3723.37	5178.37	
329.69	-6980.31	0.01	-0.01	3721.60	5179.34	
331.69	-6980.07	0.01	-0.01	3719.82	5180.32	
333.68	-6979.83	0.01	-0.01	3718.05	5181.29	
335.67	-6979.59	0.01	-0.01	3716.28	5182.26	
337.67	-6979.35	0.01	-0.01	3714.50	5183.23	
339.66	-6979.10	0.01	-0.01	3712.72	5184.19	
341.66	-6978.86	0.01	-0.01	3710.95	5185.16	
