X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	-0.00	-4995.90	-125.97	4995.90	125.97	125.97	-4995.90	-125.97	4995.90	
0.00	-0.00	-4995.77	-127.96	4995.77	127.96	127.96	-4995.77	-127.96	4995.77	
0.00	-0.00	-4995.64	-129.96	4995.64	129.96	129.96	-4995.64	-129.96	4995.64	
0.00	-0.00	-4995.51	-131.96	4995.51	131.96	131.96	-4995.51	-131.96	4995.51	
0.00	-0.00	-4995.37	-133.96	4995.37	133.96	133.96	-4995.37	-133.96	4995.37	
0.00	-0.00	-4995.23	-135.96	4995.23	135.96	135.96	-4995.23	-135.96	4995.23	
0.00	-0.00	-4995.09	-137.96	4995.09	137.96	137.96	-4995.09	-137.96	4995.09	
0.00	-0.00	-4994.95	-139.95	4994.95	139.95	139.95	-4994.95	-139.95	4994.95	
0.00	-0.00	-4994.81	-141.95	4994.81	141.95	141.95	-4994.81	-141.95	4994.81	
0.00	-0.00	-4994.66	-143.95	4994.66	143.95	143.95	-4994.66	-143.95	4994.66	
0.00	-0.00	-4994.52	-145.95	4994.52	145.95	145.95	-4994.52	-145.95	4994.52	
0.00	-0.00	-4994.37	-147.94	4994.37	147.94	147.94	-4994.37	-147.94	4994.37	
0.00	-0.00	-4994.22	-149.94	4994.22	149.94	149.94	-4994.22	-149.94	4994.22	
0.00	-0.00	-4994.06	-151.94	4994.06	151.94	151.94	-4994.06	-151.94	4994.06	
0.00	-0.00	-4993.91	-153.94	4993.91	153.94	153.94	-4993.91	-153.94	4993.91	
0.00	-0.00	-4993.75	-155.94	4993.75	155.94	155.94	-4993.75	-155.94	4993.75	
0.00	-0.00	-4993.59	-157.93	4993.59	157.93	157.93	-4993.59	-157.93	4993.59	
0.00	-0.00	-4993.43	-159.93	4993.43	159.93	159.93	-4993.43	-159.93	4993.43	
0.00	-0.00	-4993.27	-161.93	4993.27	161.93	161.93	-4993.27	-161.93	4993.27	
0.00	-0.00	-4993.10	-163.93	4993.10	163.93	163.93	-4993.10	-163.93	4993.10	
0.00	-0.00	-4992.93	-165.92	4992.93	165.92	165.92	-4992.93	-165.92	4992.93	
0.00	-0.00	-4992.76	-167.92	4992.76	167.92	167.92	-4992.76	-167.92	4992.76	
0.00	-0.00	-4992.59	-169.92	4992.59	169.92	169.92	-4992.59	-169.92	4992.59	
0.00	-0.00	-4992.42	-171.91	4992.42	171.91	171.91	-4992.42	-171.91	4992.42	
0.00	-0.00	-4992.24	-173.91	4992.24	173.91	173.91	-4992.24	-173.91	4992.24	
0.00	-0.00	-4992.07	-175.91	4992.07	175.91	175.91	-4992.07	-175.91	4992.07	
0.00	-0.00	-4991.89	-177.90	4991.89	177.90	177.90	-4991.89	-177.90	4991.89	
0.00	-0.00	-4991.71	-179.90	4991.71	179.90	179.90	-4991.71	-179.90	4991.71	
0.00	-0.00	-4991.52	-181.90	4991.52	181.90	181.90	-4991.52	-181.90	4991.52	
0.00	-0.00	-4991.34	-183.89	4991.34	183.89	183.89	-4991.34	-183.89	4991.34	
0.00	-0.00	-4991.15	-185.89	4991.15	185.89	185.89	-4991.15	-185.89	4991.15	
0.00	-0.00	-4990.96	-187.89	4990.96	187.89	187.89	-4990.96	-187.89	4990.96	
0.00	-0.00	-4990.77	-189.88	4990.77	189.88	189.88	-4990.77	-189.88	4990.77	
0.00	-0.00	-4990.58	-191.88	4990.58	191.88	191.88	-4990.58	-191.88	4990.58	
0.00	-0.00	-4990.38	-193.88	4990.38	193.88	193.88	-4990.38	-193.88	4990.38	
0.00	-0.00	-4990.18	-195.87	4990.18	195.87	195.87	-4990.18	-195.87	4990.18	
0.00	-0.00	-4989.98	-197.87	4989.98	197.87	197.87	-4989.98	-197.87	4989.98	
